pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SL,2025-09-28,86.1,2.46,5.64,"Chourio, Jackson",666158,669084,field_out,hit_into_play,,,,,4.0,Gavin Lux lines out to center fielder Jackson Chourio.,R,L,L,MIL,CIN,X,8,line_drive,1,2,2025,-0.59,0.07,-0.28,2.17,,,682622.0,0,3,Top,144.39,65.86,,,,,-5.357030398293718,-125.29781695053298,-2.158634170680429,-5.153657061709298,24.940298574409628,-31.21156301240945,3.23,1.57,333.0,91.4,23.0,87.0,2432.0,6.8,776144,643376,641343,668930,702332,655316,686555,694192,686217,53.66,0.177,0.218,0.0,1.0,0,0,3.0,22,4,Slider,0,2,2,0,2,0,2,0,Strategic,Standard,281.0,0.026,-0.164,61.8,7.5,0.342,0.164,91.4,-2,2,0.252,0.748,26,27,27,28,1,1,44.0,2.0,,2.0,3.0,-0.59,-0.59,43.9,11.304420461650146,-3.7721431803004015,30.388085458482745,40.49914311832782,34.66899915202042
SI,2025-09-27,93.3,-2.17,4.36,"Chourio, Jackson",680574,681982,single,hit_into_play,,,,,6.0,Matt McLain singles on a line drive to center fielder Jackson Chourio.,R,R,R,MIL,CIN,X,8,line_drive,1,0,2025,-1.45,-0.38,0.41,2.02,,,,2,7,Top,122.89,95.65,,,,,9.837078510629343,-135.44095834964995,0.6906372995657313,-20.124047958830086,34.41305175612051,-37.25759253670096,3.07,1.37,206.0,87.1,13.0,92.7,2332.0,6.4,776153,643376,683734,668930,702332,687401,686555,694192,641343,54.06,0.829,0.792,0.9,1.0,1,0,4.0,63,2,Sinker,4,7,7,4,7,4,7,4,Strategic,Standard,241.0,-0.005,0.29,69.5,6.9,0.961,-0.29,88.0,-3,3,0.113,0.887,28,25,28,26,1,3,5.0,1.0,,1.0,3.05,1.45,1.45,9.4,9.623969756816791,8.309248672283324,33.36584756529607,41.25550865886156,32.01494328435515
SI,2025-09-26,93.7,-1.77,5.93,"Chourio, Jackson",609280,682990,single,hit_into_play,,,,,8.0,Miguel Andujar singles on a line drive to center fielder Jackson Chourio. Gavin Lux scores.,R,R,R,MIL,CIN,X,8,line_drive,1,1,2025,-1.24,0.73,-0.27,2.1,666158.0,,,0,6,Top,115.0,73.54,,,,,6.620400022701129,-136.25857105781273,-5.787156897591788,-16.95255154682201,29.64982019961488,-21.964503439545112,3.41,1.62,272.0,97.5,13.0,93.8,2021.0,6.4,776171,661388,683734,668930,655316,687401,641343,694192,686217,54.15,0.951,0.906,0.9,1.0,1,0,4.0,43,3,Sinker,1,1,1,1,2,1,2,1,Strategic,Standard,220.0,-0.064,0.44,82.7,7.9,1.132,-0.44,97.5,0,0,0.36,0.64,24,30,25,30,3,2,8.0,1.0,,1.0,1.87,1.24,1.24,42.7,3.631481393389707,-5.306185358623195,24.845318716313404,36.72610998828109,30.58650506393373
SI,2025-09-26,94.0,-2.01,5.92,"Chourio, Jackson",670770,682990,double,hit_into_play,,,,,4.0,TJ Friedl doubles (22) on a line drive to center fielder Jackson Chourio.,R,L,R,MIL,CIN,X,8,line_drive,1,0,2025,-1.26,0.54,-0.71,2.46,,,,2,3,Top,102.18,86.15,,,,,6.1575195728131575,-136.78285106743587,-4.440297081526879,-17.14180641035438,29.61109168102607,-24.60151665663312,3.21,1.49,287.0,95.9,16.0,94.1,2130.0,6.3,776171,661388,683734,668930,655316,687401,641343,694192,686217,54.18,0.657,0.666,1.25,1.0,1,1,4.0,18,2,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,213.0,-0.026,0.543,70.8,6.4,0.892,-0.543,95.9,0,0,0.543,0.457,24,29,25,30,2,1,8.0,1.0,,1.0,2.03,1.26,-1.26,45.1,6.705030471439449,6.116739697473335,26.154520398785746,38.5829667697762,31.20496744460099
FS,2025-09-26,81.7,-0.82,5.71,"Chourio, Jackson",682829,668964,field_out,hit_into_play,,,,,4.0,Elly De La Cruz flies out to center fielder Jackson Chourio.,R,L,R,MIL,CIN,X,8,fly_ball,1,1,2025,-0.72,1.06,-0.77,2.4,,,,2,8,Top,111.05,59.41,,,,,1.5356661924932578,-119.01080331238984,-2.961150696409366,-7.174753856936194,22.831710389493416,-21.721922671181304,3.67,1.74,346.0,92.3,35.0,82.7,1577.0,6.9,776171,661388,683734,668930,655316,687401,641343,694192,686217,53.63,0.057,0.08,0.0,1.0,0,0,3.0,59,3,Split-Finger,1,3,3,1,3,1,3,1,Infield shade,Strategic,192.0,0.006,-0.245,77.7,8.1,0.144,0.245,92.3,-2,2,0.15,0.85,26,23,27,23,1,3,3.0,1.0,,1.0,2.35,0.72,-0.72,63.1,18.67806122111119,-8.256048453015783,31.7484712346148,46.93044864315666,43.81825721592437
CU,2025-09-26,82.2,-1.84,6.2,"Chourio, Jackson",682829,682990,field_out,hit_into_play,,,,,13.0,Elly De La Cruz flies out to center fielder Jackson Chourio.,R,L,R,MIL,CIN,X,8,fly_ball,0,1,2025,0.21,-0.62,-0.17,1.29,,,,0,2,Top,108.97,59.69,,,,,3.381572776362756,-119.7086390129783,-3.477702327768844,1.4144211477764717,21.123720147181423,-37.71588999053133,3.67,1.74,346.0,92.0,31.0,82.7,2672.0,6.4,776171,661388,683734,668930,655316,687401,641343,694192,686217,54.14,0.063,0.08,0.0,1.0,0,0,3.0,9,2,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,50.0,0.023,-0.22,72.1,7.6,0.147,0.22,92.0,0,0,0.5,0.5,24,23,25,23,1,0,8.0,1.0,,1.0,3.96,-0.21,0.21,51.6,10.708178057999818,-2.94345868910775,41.10155043584842,39.34395904580896,47.14555529084754
FF,2025-09-26,95.7,-1.74,6.11,"Chourio, Jackson",663647,683232,field_out,hit_into_play,,,,,4.0,Ke'Bryan Hayes flies out to center fielder Jackson Chourio.,R,R,R,MIL,CIN,X,8,fly_ball,1,1,2025,-0.57,1.51,-0.7,2.65,,682829.0,,2,6,Top,140.0,50.28,,,,,4.064181296721428,-139.24438112124292,-6.962589629469006,-8.294401657303252,32.43491797508309,-11.140932961616896,3.32,1.55,369.0,97.9,26.0,96.4,2333.0,6.8,776171,661388,683734,668930,655316,687401,641343,694192,686217,53.74,0.406,0.643,0.0,1.0,0,0,6.0,47,3,4-Seam Fastball,1,3,3,1,3,1,3,1,Standard,Standard,205.0,0.027,-0.265,69.5,6.3,1.159,0.265,97.9,-2,2,0.221,0.779,28,28,29,28,1,2,2.0,1.0,8.0,1.0,0.98,0.57,0.57,58.6,1.1467388473124858,-6.9631556181776055,26.4709828309932,26.856628555076107,33.7370582344123
FF,2025-09-26,94.5,-0.8,5.78,"Chourio, Jackson",670770,668964,field_out,hit_into_play,,,,,5.0,TJ Friedl lines out to center fielder Jackson Chourio.,R,L,R,MIL,CIN,X,8,line_drive,3,2,2025,-0.37,1.53,0.24,2.38,,,,1,7,Top,141.16,67.65,,,,,3.5688271409371723,-137.39603483904094,-6.576490260752816,-5.497879564374573,33.558781902173564,-11.569448691056476,3.21,1.49,328.0,96.9,19.0,94.8,2294.0,6.7,776171,661388,683734,668930,655316,687401,641343,694192,686217,53.76,0.346,0.388,0.0,1.0,0,0,4.0,52,6,4-Seam Fastball,1,3,3,1,3,1,3,1,Standard,Standard,198.0,0.011,-0.332,68.3,6.1,0.594,0.332,96.9,-2,2,0.19,0.81,26,29,27,30,1,3,3.0,1.0,,1.0,1.05,0.37,-0.37,61.7,1.1371563238007016,1.0049070156552713,30.783570601894034,29.162263575715567,32.56490885702224
FF,2025-09-26,95.7,-1.67,6.18,"Chourio, Jackson",663886,683232,sac_fly,hit_into_play,,,,,4.0,Tyler Stephenson out on a sacrifice fly to center fielder Jackson Chourio. Miguel Andujar scores.,R,R,R,MIL,CIN,X,8,fly_ball,1,0,2025,-0.6,1.7,-0.53,2.52,609280.0,682829.0,,1,6,Top,123.82,78.67,,,,,4.390080652348762,-139.06574822586185,-7.868071390455982,-8.807148557668288,34.33050484496959,-8.550613257411747,3.33,1.51,299.0,98.0,46.0,96.0,2418.0,6.8,776171,661388,683734,668930,655316,687401,641343,694192,686217,53.73,0.02,0.03,0.0,1.0,0,0,3.0,46,2,4-Seam Fastball,1,2,2,1,3,1,3,1,Strategic,Standard,206.0,-0.019,-0.223,73.4,7.5,0.045,0.223,98.0,-1,1,0.24,0.76,28,28,29,29,1,2,2.0,2.0,8.0,1.0,0.82,0.6,0.6,54.6,12.115803319501984,-10.249927139194035,44.30367498707968,29.259211548961588,37.46201290429625
CH,2025-09-24,90.1,-1.19,5.5,"Chourio, Jackson",656811,694477,single,hit_into_play,,,,,7.0,Ryan O'Hearn singles on a sharp line drive to center fielder Jackson Chourio.,R,L,R,SD,MIL,X,8,line_drive,2,1,2025,-1.11,0.21,-0.31,1.66,,,,0,2,Bot,126.16,73.07,,,,,4.510390457905561,-131.13411423140155,-3.9580016745350535,-13.793714124922667,29.764848384977537,-29.08005691782133,3.43,1.62,226.0,102.5,12.0,89.3,2244.0,5.9,776198,643376,683734,668930,702332,655316,641343,694192,686217,54.58,0.943,0.901,0.9,1.0,1,0,4.0,14,4,Changeup,0,0,0,0,0,0,0,0,Strategic,Standard,228.0,0.038,0.393,71.3,7.4,1.134,-0.393,102.5,0,0,0.55,0.55,26,31,27,32,1,0,4.0,1.0,4.0,2.0,2.61,1.11,-1.11,32.3,11.580233143934214,15.558205245418623,44.09374578031758,41.43036302819701,24.599713641269584
