pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FC,2025-07-21,90.4,-1.33,6.03,"Raley, Luke",670042,605540,single,hit_into_play,,,,,9.0,Luke Raley singles on a line drive to right fielder Jackson Chourio.,R,L,R,SEA,MIL,X,9,line_drive,1,0,2025,0.2,1.22,0.68,1.79,,,,0,5,Bot,187.21,102.56,,,,,4.588108605605509,-131.52551133452724,-7.307607665991154,1.4835859937367537,25.376620158100632,-16.657475517860536,3.47,1.55,246.0,93.6,18.0,91.1,2384.0,6.5,777050,661388,683734,668930,678011,687401,686555,663368,694192,53.98,0.5,0.477,0.9,1.0,1,0,4.0,31,2,Cutter,0,0,0,0,0,0,0,0,Infield shade,Standard,188.0,0.047,0.397,78.1,7.5,0.649,-0.397,93.6,0,0,0.565,0.565,32,30,32,31,2,1,9.0,1.0,6.0,1.0,1.55,-0.2,0.2,46.4,11.356058053750456,-5.502939984016906,39.65595692963196,28.638307913206965,31.528971760591634
FF,2025-07-10,95.9,-1.27,6.0,"Raley, Luke",670042,690925,field_out,hit_into_play,,,,,8.0,Luke Raley flies out to left fielder Jasson Domínguez.,R,L,R,NYY,SEA,X,7,fly_ball,3,2,2025,-0.02,1.64,-0.15,1.9,,,,2,7,Top,53.58,87.41,,,,,2.968488852247549,-139.32434334727049,-8.81224904359399,-0.9877991953719146,33.94874020560361,-9.021321148071657,3.42,1.51,329.0,94.6,31.0,94.9,2467.0,6.0,777169,669224,700250,665862,678391,683011,691176,663757,641355,54.51,0.137,0.232,0.0,1.0,0,0,5.0,52,6,4-Seam Fastball,0,5,5,0,5,0,5,0,Infield shade,Standard,200.0,0.001,-0.328,73.1,7.1,0.459,0.328,94.6,-5,5,0.032,0.968,26,30,27,31,2,3,7.0,1.0,26.0,1.0,0.86,0.02,-0.02,49.5,7.996908478305798,10.702470776697195,36.90331632158636,35.928826447330856,25.7446416044435
SL,2025-07-10,84.7,-1.18,6.13,"Raley, Luke",670042,690925,field_out,hit_into_play,,,,,5.0,Luke Raley lines out to center fielder Trent Grisham.,R,L,R,NYY,SEA,X,8,line_drive,0,0,2025,0.21,-0.55,0.17,2.19,,,,0,6,Top,140.78,78.3,,,,,2.675765801090663,-123.35818788798576,-1.7689793036059562,1.6592303227281309,24.58259441040867,-37.61642724519717,3.42,1.51,303.0,91.9,18.0,83.8,2892.0,5.7,777169,669224,700250,665862,678391,683011,691176,663757,641355,54.84,0.62,0.567,0.0,1.0,0,0,4.0,40,1,Slider,0,2,2,0,2,0,2,0,Strategic,Standard,26.0,0.017,-0.259,70.8,6.8,0.758,0.259,91.9,-2,2,0.211,0.789,26,30,27,31,1,2,7.0,1.0,26.0,1.0,3.72,-0.21,0.21,49.3,2.149887559919632,1.458241025989423,32.577993845483874,32.915089262478354,26.244202049557146
FF,2025-07-08,90.0,-2.73,5.46,"Raley, Luke",670042,701542,single,hit_into_play,,,,,2.0,Luke Raley singles on a line drive to right fielder Aaron Judge.,R,L,R,NYY,SEA,X,9,line_drive,0,0,2025,-0.48,1.32,0.15,2.85,,,,0,5,Top,167.87,110.29,,,,,8.207716380632474,-130.84528137966603,-3.3016497366578883,-7.323436025174233,28.269269978382336,-16.547059733792807,3.42,1.49,245.0,97.5,18.0,90.4,2598.0,6.6,777187,669224,502671,665862,672724,683011,691176,641355,592450,53.85,0.426,0.463,0.9,1.0,1,0,4.0,28,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,229.0,-0.047,0.438,76.8,6.8,0.674,-0.438,97.5,0,0,0.5,0.5,26,30,26,31,2,1,6.0,2.0,5.0,1.0,1.51,0.48,-0.48,22.4,10.644351515876563,3.221280582437644,30.17508250768708,32.74039957687711,30.944673909493872
CH,2025-07-03,84.0,-1.29,5.72,"Raley, Luke",670042,607625,double,hit_into_play,,,,,4.0,Luke Raley doubles (6) on a sharp line drive to center fielder Kyle Isbel.,R,L,R,SEA,KC,X,8,line_drive,0,0,2025,-1.47,0.31,-0.32,2.82,,,,0,4,Bot,142.26,43.76,,,,,5.0912979877323945,-122.29142525266924,-0.9909770772450036,-15.784284243687408,21.931305836334356,-29.062646151906925,3.44,1.51,385.0,106.4,20.0,83.5,1672.0,5.7,777251,521692,686469,663697,672580,677951,679845,664728,670231,54.77,0.723,1.033,1.25,1.0,1,1,6.0,30,1,Changeup,1,0,1,0,0,1,1,0,Standard,Standard,239.0,0.058,0.717,71.7,6.7,1.753,-0.717,106.4,1,1,0.69,0.69,35,30,36,31,2,1,5.0,1.0,5.0,2.0,2.89,1.47,-1.47,32.1,16.969926339813263,2.8174814364272387,27.110440618332724,42.34025637548218,28.644560415819367
SL,2025-07-03,85.4,-1.73,6.05,"Raley, Luke",670042,608032,field_out,hit_into_play,,,,,3.0,Luke Raley flies out to right fielder John Rave.,R,L,R,SEA,KC,X,9,fly_ball,2,2,2025,0.68,0.08,0.74,2.98,,593871.0,,2,8,Bot,170.95,113.47,,,,,4.424794852535118,-124.35266864429686,-1.1529221093177844,6.257724392757902,23.87600309224808,-31.31798791685757,3.44,1.51,241.0,70.0,32.0,85.3,2190.0,6.1,777251,666023,686469,663697,672580,677951,671221,664728,670231,54.38,0.82,0.751,0.0,1.0,0,0,4.0,69,5,Slider,1,3,1,3,3,1,1,3,Standard,Standard,120.0,-0.051,-0.22,71.0,6.6,0.871,0.22,88.0,-2,-2,0.122,0.122,32,30,33,31,1,3,2.0,1.0,3.0,2.0,3.03,-0.68,0.68,48.7,17.08295943768164,-5.383916076639888,29.02923055076629,27.43946401117093,29.339473631146276
FF,2025-07-01,94.0,-2.46,5.57,"Raley, Luke",670042,547179,double,hit_into_play,,,,,6.0,Luke Raley doubles (5) on a sharp line drive to center fielder Kyle Isbel.,R,L,R,SEA,KC,X,8,line_drive,0,0,2025,-1.0,1.18,0.32,2.4,,,,0,5,Bot,161.24,44.86,,,,,9.33712347907583,-136.5829944061224,-5.113108467615872,-14.552414619924091,28.478086287319048,-16.36362404643875,3.46,1.51,361.0,101.2,21.0,93.4,2339.0,5.9,777281,521692,686469,679845,672580,677951,670231,664728,695506,54.58,0.423,0.547,1.25,1.0,1,1,5.0,40,1,4-Seam Fastball,1,5,1,5,5,1,1,5,Standard,Standard,235.0,0.049,0.717,70.3,6.6,0.887,-0.717,101.2,-4,-4,0.111,0.111,33,30,33,31,2,1,5.0,2.0,5.0,1.0,1.39,1.0,-1.0,33.3,8.46999963010158,2.3488944225646216,33.01152211116162,33.446474058900506,28.678381687946096
FF,2025-06-29,96.4,-1.88,5.34,"Raley, Luke",670042,668390,field_out,hit_into_play,,,,,5.0,Luke Raley flies out to left fielder Alejandro Osuna.,R,L,R,TEX,SEA,X,7,fly_ball,1,2,2025,-0.7,1.16,0.09,2.84,810938.0,,663728.0,2,11,Top,77.4,118.12,,,,,6.897071864932548,-140.16671617634196,-3.7008454863425935,-10.808214979187856,34.36633512496336,-16.266132763700053,3.49,1.53,236.0,76.8,46.0,97.1,,6.9,777302,641680,669701,543760,673962,608369,696030,694497,666969,53.55,0.069,0.062,0.0,1.0,0,0,3.0,89,4,4-Seam Fastball,3,3,3,3,3,3,3,3,Infield shade,Standard,,0.136,-0.188,71.8,6.3,0.077,0.188,88.0,0,0,0.671,0.329,25,30,26,31,1,5,2.0,1.0,22.0,2.0,1.31,0.7,-0.7,36.1,6.602560870533157,13.15828880508008,27.414058482151297,35.52950401635381,25.555408621275788
FF,2025-06-28,95.6,-2.34,5.48,"Raley, Luke",670042,677958,single,hit_into_play,,,,,5.0,Luke Raley singles on a line drive to left fielder Alejandro Osuna.,R,L,R,TEX,SEA,X,7,line_drive,0,1,2025,-0.94,0.71,0.18,2.22,,,,0,2,Top,59.37,98.32,,,,,8.772098303903242,-138.90907433061642,-4.522057607380298,-14.243112357439108,33.27105603400844,-22.1800608143009,3.48,1.56,240.0,94.3,15.0,95.5,2121.0,6.4,777322,543309,669701,543760,673962,608369,696030,694497,666969,54.05,0.897,0.834,0.9,1.0,1,0,4.0,7,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,236.0,-0.038,0.478,70.0,5.9,1.06,-0.478,94.3,0,0,0.5,0.5,25,30,26,31,1,0,7.0,1.0,6.0,1.0,1.81,0.94,-0.94,21.9,-2.7416144582911497,20.13295791236006,35.261750910513854,32.48096897904675,18.93050002880155
FS,2025-06-27,87.5,-2.57,5.48,"Raley, Luke",670042,543135,double,hit_into_play,,,,,1.0,Luke Raley doubles (4) on a sharp fly ball to right fielder Adolis García.,R,L,R,TEX,SEA,X,9,fly_ball,1,0,2025,-1.21,0.15,-0.6,3.03,,,,0,2,Top,180.97,71.06,,,,,7.348085541505906,-127.31063363013791,-0.0773641920599313,-14.706246383491418,25.629734050571976,-30.775233037663558,3.48,1.56,351.0,102.2,24.0,88.5,,6.9,777340,641680,669701,543760,673962,608369,696030,694497,666969,53.64,0.631,1.036,1.25,1.0,1,1,6.0,10,2,Split-Finger,1,1,1,1,1,1,1,1,Infield shade,Standard,,-0.064,0.676,75.2,7.0,1.89,-0.676,102.2,0,0,0.5,0.5,35,30,35,31,1,0,31.0,2.0,5.0,1.0,2.83,1.21,-1.21,31.8,30.396445119235537,6.050772075872015,24.921140933025185,43.56389954951735,30.599511036368945
FC,2025-06-27,89.6,-1.6,5.81,"Raley, Luke",670042,542888,field_out,hit_into_play,,,,,2.0,Luke Raley flies out to left fielder Ezequiel Duran.,R,L,R,TEX,SEA,X,7,fly_ball,2,1,2025,0.53,0.58,0.01,3.25,,668227.0,,0,12,Top,65.25,101.91,,,,,2.858636112900269,-130.54541126217782,-1.6068239882431783,5.5165787165450695,26.117440760794672,-25.37067471047292,3.48,1.56,284.0,94.6,49.0,90.4,,6.6,777340,543309,669701,543760,673962,608369,677649,694497,666969,53.92,0.003,0.003,0.0,1.0,0,0,3.0,99,4,Cutter,6,6,6,6,6,6,6,6,Infield shade,Standard,,0.115,-0.317,72.8,6.4,0.004,0.317,94.6,0,0,0.5,0.5,34,30,35,31,1,5,6.0,2.0,1.0,1.0,2.24,-0.53,0.53,40.7,13.458694071375255,13.02173317552198,24.57808049149931,38.37651122250547,25.73416910251381
FF,2025-06-21,96.9,-2.46,6.01,"Raley, Luke",670042,690990,single,hit_into_play,,,,,6.0,Luke Raley singles on a fly ball to left fielder Ian Happ. Jorge Polanco scores. Randy Arozarena to 3rd.,R,L,R,CHC,SEA,X,7,fly_ball,1,0,2025,0.08,1.23,0.51,2.39,593871.0,668227.0,,0,2,Top,88.01,123.51,,,,,7.708121784514211,-140.8615772537403,-6.921289796081264,-0.6005385883282304,30.62642665687855,-14.359015158183924,3.45,1.58,213.0,72.6,50.0,96.5,2613.0,6.0,777419,608348,683737,663538,660644,621020,664023,691718,663656,54.48,0.16,0.176,0.9,1.0,1,0,3.0,11,2,4-Seam Fastball,2,0,0,2,1,2,1,2,Infield shade,Strategic,195.0,-0.083,0.474,79.7,7.0,0.228,-0.474,88.0,2,-2,0.555,0.445,23,30,24,31,1,0,8.0,1.0,6.0,2.0,1.19,-0.08,0.08,44.6,-1.6509105762959095,4.979692838906817,35.63696391794504,32.49867522892656,29.091721883225063
FF,2025-06-21,99.7,-1.15,5.48,"Raley, Luke",670042,694037,single,hit_into_play,,,,,2.0,Luke Raley singles on a line drive to right fielder Kyle Tucker.,R,L,R,CHC,SEA,X,9,line_drive,0,0,2025,-1.21,1.03,0.18,3.42,,,,2,9,Top,180.0,101.78,,,,,6.553835964698218,-144.99227695999716,-2.715114186402039,-18.53656694224034,34.263454490443145,-17.211313296265377,3.45,1.58,180.0,95.7,13.0,100.7,2393.0,6.9,777419,608348,683737,663538,807713,621020,664023,691718,663656,53.63,0.949,0.903,0.9,1.0,1,0,4.0,81,1,4-Seam Fastball,10,7,7,10,7,10,7,10,Infield shade,Standard,224.0,-0.007,0.326,71.6,6.5,1.133,-0.326,95.7,3,-3,0.996,0.004,25,30,25,31,1,4,4.0,1.0,5.0,2.0,1.27,1.21,-1.21,35.1,16.257874109796457,-3.65150063220569,24.420645910256148,36.957721170057496,32.0247261323296
