pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
CU,2025-07-30,86.5,-1.52,6.2,"Grichuk, Randal",545341,572955,field_out,hit_into_play,,,,,14.0,Randal Grichuk lines out to center fielder Michael Harris II.,R,R,R,KC,ATL,X,8,line_drive,2,2,2025,0.65,-0.24,1.0,1.92,,,,2,7,Bot,126.52,89.17,,,,,4.644276253253199,-125.96566866843328,-3.519324788252079,6.080178631664703,23.17818197907672,-34.3344889498903,3.29,1.52,274.0,77.9,25.0,85.9,3117.0,5.7,776936,669221,621566,645277,663586,669397,595777,671739,642201,54.83,0.626,0.587,0.0,1.0,0,0,4.0,48,5,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,57.0,-0.02,-0.224,69.6,8.2,0.712,0.224,88.0,0,0,0.52,0.52,34,33,34,34,1,2,2.0,1.0,1.0,2.0,3.26,-0.65,-0.65,41.5,9.944707995352571,-0.5588699825436823,24.73301609764647,49.0732874187279,32.70108101997646
SI,2025-07-28,94.1,-1.36,5.57,"Grichuk, Randal",545341,628452,field_out,hit_into_play,,,,,5.0,Randal Grichuk lines out to right fielder Ronald Acuña Jr.,R,R,R,KC,ATL,X,9,line_drive,0,1,2025,-1.29,0.8,0.22,2.62,,,666023.0,1,9,Bot,179.48,80.57,,,,,6.95845991092191,-136.8675249744864,-3.7481319625482574,-17.76344833353347,28.46323126287233,-21.518749318062493,3.3,1.52,322.0,93.1,21.0,94.3,2277.0,6.3,776971,669221,621566,645277,663586,669397,595777,671739,660670,54.22,0.243,0.261,0.0,1.0,0,0,3.0,93,2,Sinker,7,10,7,10,10,7,7,10,Standard,Standard,221.0,-0.028,-0.216,,,0.401,0.216,93.1,-3,-3,0.042,0.042,35,33,35,34,1,4,2.0,1.0,2.0,1.0,1.77,1.29,1.29,36.0,,,,,
FF,2025-07-27,88.3,0.69,5.8,"Grichuk, Randal",545341,676282,field_out,hit_into_play,,,,,6.0,Randal Grichuk flies out to right fielder Johnathan Rodríguez.,R,R,L,KC,CLE,X,9,fly_ball,0,0,2025,0.71,1.32,0.4,2.48,,,,0,4,Bot,185.29,95.45,,,,,-2.238909780270426,-128.67837752097472,-4.969448514255774,8.387918153384168,22.564076403957657,-16.62919947351247,3.31,1.51,296.0,91.4,49.0,90.9,1803.0,7.4,776975,666310,467793,677587,608070,672356,680757,682657,671286,53.07,0.003,0.004,0.0,1.0,0,0,3.0,32,1,4-Seam Fastball,2,0,2,0,0,2,2,0,Standard,Strategic,149.0,-0.014,-0.259,77.0,7.4,0.006,0.259,91.4,2,2,0.793,0.793,25,33,26,34,2,1,5.0,1.0,7.0,1.0,1.56,0.71,-0.71,53.5,5.645049317196866,6.618639983876869,27.00664427544774,40.771182047323336,26.7133976522468
CH,2025-07-27,76.3,0.8,5.87,"Grichuk, Randal",545341,676282,single,hit_into_play,,,,,6.0,Randal Grichuk singles on a sharp line drive to left fielder Steven Kwan.,R,R,L,KC,CLE,X,7,line_drive,1,1,2025,0.67,0.86,0.48,2.17,,,,0,2,Bot,73.5,106.84,,,,,-1.9165450892130464,-111.176990432437,-2.362550450141494,5.906788115251595,19.50871901387013,-24.847835871120708,3.31,1.51,175.0,106.1,10.0,77.9,1402.0,7.3,776975,666310,467793,677587,608070,672356,680757,682657,671286,53.18,0.849,0.841,0.9,1.0,1,0,4.0,16,3,Changeup,2,0,2,0,0,2,2,0,Standard,Strategic,126.0,0.024,0.447,75.2,8.0,1.068,-0.447,106.1,2,2,0.754,0.754,25,33,26,34,1,0,5.0,1.0,7.0,1.0,3.04,0.67,-0.67,53.8,13.081674904171177,-6.839700205938342,27.272875857627422,40.56366783233802,35.054634903822134
FF,2025-07-26,89.3,2.92,4.95,"Grichuk, Randal",545341,571760,field_out,hit_into_play,,,,,12.0,Randal Grichuk flies out to right fielder Bryan Reynolds.,R,R,L,PIT,AZ,X,9,fly_ball,1,2,2025,1.14,0.78,0.41,3.51,,,,0,2,Top,169.3,86.01,,,,,-8.587584479574826,-129.72028464891187,0.9129942062773873,14.715588113654498,29.92401600380443,-23.89673148603477,3.32,1.51,301.0,90.9,39.0,88.9,2340.0,6.4,777002,663698,687462,678894,663647,643396,502054,665833,668804,54.12,0.014,0.023,0.0,1.0,0,0,3.0,8,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,122.0,0.023,-0.189,70.3,6.8,0.041,0.189,90.9,0,0,0.5,0.5,34,33,34,34,1,0,6.0,3.0,6.0,1.0,2.11,1.14,-1.14,30.9,8.807722240462034,20.95690796539481,19.127532103682327,40.68609107281324,20.9957777850213
SI,2025-07-23,89.5,2.09,5.46,"Grichuk, Randal",545341,687888,field_out,hit_into_play,,,,,9.0,Randal Grichuk flies out to right fielder Cam Smith.,R,R,L,AZ,HOU,X,9,fly_ball,0,0,2025,1.38,0.38,0.31,1.92,,,,0,7,Bot,199.81,69.83,,,,,-7.341571437981343,-130.1081063035046,-3.566432277929031,17.183196537995382,27.23462723439506,-27.2976993892175,3.31,1.52,366.0,98.7,30.0,90.2,2004.0,6.8,777032,673237,605170,694728,643289,670097,666211,676801,701358,53.75,0.494,0.924,0.0,1.0,0,0,6.0,55,1,Sinker,1,2,1,2,2,1,1,2,Standard,Standard,119.0,-0.049,-0.259,76.6,7.4,1.766,0.259,98.7,-1,-1,0.354,0.354,28,33,29,34,3,2,5.0,1.0,,3.0,2.47,1.38,-1.38,30.3,2.915058500573026,5.231798504061462,34.11781316138178,39.08827562087227,25.50836638361168
FC,2025-07-23,89.0,2.18,5.58,"Grichuk, Randal",545341,687888,field_out,hit_into_play,,,,,7.0,Randal Grichuk lines out to center fielder Taylor Trammell.,R,R,L,AZ,HOU,X,8,line_drive,2,1,2025,-0.14,0.56,-0.33,2.05,,,,1,4,Bot,116.98,69.73,,,,,-5.891612069164704,-129.5004171445986,-3.8370829886199584,-0.396445505625098,26.981569931694068,-25.28262359747509,3.31,1.52,321.0,99.7,16.0,89.6,2208.0,6.7,777032,673237,605170,694728,694376,643289,669450,666211,676801,53.83,0.537,0.562,0.0,1.0,0,0,4.0,31,4,Cutter,1,0,1,0,0,1,1,0,Standard,Standard,147.0,-0.015,-0.298,75.2,7.5,0.793,0.298,99.7,1,1,0.67,0.67,28,33,29,34,2,1,5.0,1.0,,3.0,2.32,-0.14,0.14,30.0,5.664569071136401,-1.3362826036175113,31.224366934942232,32.627101036694434,28.035368881738023
SI,2025-07-22,93.1,0.75,5.77,"Grichuk, Randal",545341,664285,double,hit_into_play,,,,,9.0,Randal Grichuk doubles (15) on a line drive to center fielder Chas McCormick.,R,R,L,AZ,HOU,X,8,line_drive,1,0,2025,1.59,0.21,0.44,1.78,,,,0,5,Bot,92.8,75.96,,,,,-4.255358222233161,-135.3894029281523,-4.847031087420604,20.420341117371912,32.88414937124662,-28.60173169177535,3.31,1.52,315.0,90.2,21.0,92.0,2204.0,5.9,777040,673237,572233,694728,643289,670097,669450,676801,701358,54.58,0.28,0.285,1.25,1.0,1,1,3.0,37,2,Sinker,0,0,0,0,0,0,0,0,Infield shade,Standard,130.0,0.084,0.676,74.4,8.0,0.404,-0.676,90.2,0,0,0.565,0.565,31,33,32,34,2,1,10.0,1.0,6.0,1.0,2.44,1.59,-1.59,37.6,13.810551584341452,-9.941144111893813,32.29230572780683,41.2732420187102,32.89324331064484
CH,2025-07-22,90.8,0.85,5.7,"Grichuk, Randal",545341,664285,double,hit_into_play,,,,,7.0,Randal Grichuk doubles (14) on a sharp line drive to left fielder Cooper Hummel.,R,R,L,AZ,HOU,X,7,line_drive,1,1,2025,1.22,0.09,-0.48,1.67,,,,1,2,Bot,17.82,102.23,,,,,-5.880095390577509,-132.0687642770206,-4.277477587558655,15.580309923488612,30.597002097123863,-30.295941275283003,3.31,1.52,303.0,101.5,17.0,89.7,1690.0,5.8,777040,673237,572233,694728,643289,670097,669450,676801,701358,54.67,0.491,0.562,1.25,1.0,1,1,4.0,14,3,Changeup,0,0,0,0,0,0,0,0,Infield shade,Standard,121.0,0.044,0.653,76.4,7.9,0.841,-0.653,101.5,0,0,0.527,0.527,31,33,32,34,1,0,10.0,1.0,6.0,1.0,2.69,1.22,-1.22,38.8,11.629874692027968,-16.74241021299836,35.730484662359096,30.624790774220926,39.003916616476346
FF,2025-07-21,91.9,2.27,5.6,"Grichuk, Randal",545341,676467,field_out,hit_into_play,,,,,1.0,Randal Grichuk flies out to center fielder Chas McCormick.,R,R,L,AZ,HOU,X,8,fly_ball,0,1,2025,0.76,1.43,-0.58,2.76,682998.0,,647304.0,2,1,Bot,122.7,90.19,,,,,-8.974304508700316,-133.5458241895093,-4.464055065182771,11.009644946360172,29.55054515388431,-14.26509495808356,3.33,1.51,272.0,79.2,40.0,92.9,2019.0,7.0,777055,605170,572233,694728,643289,670097,666211,676801,701358,53.5,0.04,0.043,0.0,1.0,0,0,3.0,9,2,4-Seam Fastball,1,0,1,0,0,1,1,0,Infield shade,Standard,143.0,-0.041,-0.237,72.6,6.8,0.066,0.237,88.0,1,1,0.649,0.649,26,33,27,34,1,0,8.0,1.0,6.0,1.0,1.28,0.76,-0.76,34.7,4.9709965524347375,2.928398528728639,27.126978016840464,28.842457357474668,27.074033319319348
CU,2025-07-12,83.4,2.0,5.58,"Grichuk, Randal",545341,579328,single,hit_into_play,,,,,14.0,Randal Grichuk singles on a line drive to center fielder Jo Adell. Lourdes Gurriel Jr. scores. Josh Naylor to 3rd. Randal Grichuk to 2nd.,R,R,L,LAA,AZ,X,8,line_drive,0,1,2025,-0.44,-0.25,0.85,2.28,,666971.0,647304.0,2,6,Top,103.24,98.01,,,,,-1.803426073142825,-121.54147861893544,-0.6559653836013055,-4.033274423116513,24.17519190689142,-34.74924895070363,3.31,1.5,168.0,86.3,12.0,84.1,2428.0,6.7,777131,518595,694384,650859,660162,687263,621493,666176,624585,53.83,0.666,0.633,0.9,1.0,1,0,4.0,49,2,Curveball,6,2,2,6,3,6,3,6,Standard,Standard,284.0,-0.068,0.588,75.0,8.1,0.747,-0.588,88.0,4,-4,0.928,0.072,34,33,34,34,3,2,5.0,1.0,7.0,8.0,3.52,-0.44,0.44,43.1,14.062565998444317,-0.9903844475289848,26.25618658347417,47.75455844211798,28.90366459188915
FF,2025-07-11,91.5,1.4,6.23,"Grichuk, Randal",545341,542881,double,hit_into_play,,,,,1.0,"Randal Grichuk doubles (13) on a fly ball to left fielder Taylor Ward, deflected by center fielder Jo Adell.",R,R,L,LAA,AZ,X,8,fly_ball,2,2,2025,0.7,1.54,-0.68,3.05,,,,2,5,Top,107.54,99.06,,,,,-6.738106597330495,-133.02016991420328,-5.432582886821516,9.76875309584888,29.57432758198978,-12.899724529545622,3.31,1.5,248.0,71.7,35.0,90.9,2152.0,6.1,777150,681351,694384,650859,660162,687263,621493,666176,672569,54.43,0.454,0.423,1.25,1.0,1,1,3.0,46,6,4-Seam Fastball,4,4,4,4,4,4,4,4,Standard,Standard,151.0,-0.032,0.615,69.3,6.4,0.508,-0.615,88.0,0,0,0.551,0.449,35,33,36,34,3,2,5.0,1.0,10.0,1.0,1.19,0.7,-0.7,51.7,7.077348633670384,4.699135197430924,26.05799870759595,26.803069376794262,27.355865456105303
FF,2025-07-08,92.6,-1.11,6.85,"Grichuk, Randal",545341,601713,field_out,hit_into_play,,,,,4.0,Randal Grichuk flies out sharply to center fielder Jackson Merrill.,R,R,R,SD,AZ,X,8,fly_ball,3,1,2025,-0.4,1.64,-0.28,2.64,,,,1,5,Top,92.13,64.47,,,,,3.038443823573119,-134.52040700275236,-8.506985550420524,-5.609728716231139,34.79041862452406,-10.6042228265893,3.32,1.53,343.0,102.1,41.0,92.8,2327.0,7.0,777185,553869,650333,630105,592518,593428,657757,701538,665487,53.54,0.197,0.376,0.0,1.0,0,0,5.0,29,5,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,194.0,0.021,-0.419,,,0.725,0.419,102.1,0,0,0.53,0.47,32,33,32,34,2,1,6.0,1.0,5.0,2.0,1.07,0.4,0.4,57.5,,,,,
FF,2025-07-08,100.0,-0.96,6.2,"Grichuk, Randal",545341,663158,field_out,hit_into_play,,,,,5.0,Randal Grichuk lines out sharply to left fielder Bryce Johnson.,R,R,R,SD,AZ,X,7,line_drive,3,2,2025,-0.53,1.49,0.08,2.11,,,,1,9,Top,67.41,73.56,,,,,4.135780017110247,-145.20935995623535,-9.385315483455145,-8.542177464569711,37.76965318173642,-9.075459734038263,3.32,1.53,342.0,114.7,12.0,100.1,2367.0,6.7,777185,553869,650333,630105,592518,593428,669369,701538,665487,53.77,0.82,0.889,0.0,1.0,0,0,6.0,63,8,4-Seam Fastball,1,0,0,1,0,1,0,1,Strategic,Standard,204.0,0.052,-0.333,79.9,7.8,1.294,0.333,114.7,1,-1,0.913,0.087,34,33,34,34,1,3,2.0,1.0,2.0,2.0,0.82,0.53,0.53,47.8,-4.159035622169086,-7.911719914122226,32.461971976221214,37.30833496388343,31.942961737758548
FF,2025-07-07,97.6,-1.68,5.48,"Grichuk, Randal",545341,674384,field_out,hit_into_play,,,,,1.0,Randal Grichuk flies out to center fielder Jackson Merrill.,R,R,R,SD,AZ,X,8,fly_ball,2,1,2025,-0.54,1.24,-0.64,3.25,,647304.0,,2,9,Top,111.62,75.21,,,,,3.997291477379862,-142.05922086383947,-3.330561057663501,-8.189801239755475,32.933478963562784,-14.7812820807894,3.31,1.53,309.0,86.1,38.0,96.5,2592.0,5.7,777203,553869,650333,630105,592518,593428,657757,701538,665487,54.82,0.009,0.009,0.0,1.0,0,0,3.0,79,4,4-Seam Fastball,3,6,6,3,6,3,6,3,Standard,Standard,212.0,0.005,-0.285,66.6,6.8,0.019,0.285,88.0,-3,3,0.033,0.967,26,33,26,34,1,1,2.0,1.0,2.0,1.0,1.15,0.54,0.54,34.0,21.87605576118992,2.750070491435581,20.8100736781636,31.40256267747945,27.134219107679098
ST,2025-07-06,84.0,-2.73,5.54,"Grichuk, Randal",545341,547179,double,hit_into_play,,,,,8.0,Randal Grichuk doubles (12) on a sharp line drive to left fielder John Rave.,R,R,R,AZ,KC,X,7,line_drive,1,1,2025,0.93,-0.12,-0.09,1.93,,,,2,5,Bot,41.98,88.43,,,,,4.258589920430627,-122.28627903459588,-1.6590067533314925,8.313296306280865,26.384143098031743,-33.24864182710885,3.31,1.53,341.0,109.0,18.0,83.3,2499.0,6.0,777218,666023,686469,663697,679845,677951,670231,664728,695506,54.51,0.769,1.047,1.25,1.0,1,1,6.0,36,3,Sweeper,0,4,0,4,4,0,0,4,Standard,Standard,54.0,0.015,0.595,77.7,8.0,1.71,-0.595,109.0,-4,-4,0.081,0.081,33,33,33,34,2,1,5.0,1.0,41.0,1.0,3.37,-0.93,-0.93,37.8,14.611509146574742,-12.439917995839316,30.385902266160063,33.93309810018207,38.38705106508457
FF,2025-07-05,94.6,1.59,5.75,"Grichuk, Randal",545341,663738,field_out,hit_into_play,,,,,4.0,Randal Grichuk lines out to center fielder Kyle Isbel.,R,R,L,AZ,KC,X,8,line_drive,1,2,2025,1.02,1.17,-0.37,2.47,,677950.0,677942.0,2,6,Bot,114.48,76.47,,,,,-7.442655182682906,-137.4604369262677,-5.465671552581794,14.710880199087642,33.539025303792755,-16.272856856935753,3.3,1.51,322.0,98.4,17.0,94.8,2345.0,6.7,777234,666023,521692,663697,672580,677951,679845,664728,695506,53.79,0.449,0.462,0.0,1.0,0,0,4.0,51,4,4-Seam Fastball,4,1,4,1,1,4,4,1,Standard,Standard,125.0,-0.014,-0.191,70.6,6.8,0.677,0.191,98.4,3,3,0.916,0.916,28,33,29,34,1,0,1.0,1.0,29.0,1.0,1.4,1.02,-1.02,33.6,-0.7316010533010302,2.5689448923803773,33.851029790566535,32.23060461038578,26.54997943417291
