pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FC,2025-07-30,88.0,-1.91,5.94,"Carroll, Corbin",682998,663978,double,hit_into_play,,,,,6.0,Corbin Carroll doubles (19) on a sharp line drive to right fielder Wenceel Pérez.,R,L,R,DET,AZ,X,9,line_drive,1,0,2025,-0.08,0.59,0.35,2.16,,,,0,4,Top,201.47,109.4,,,,,5.715321066355911,-128.04400793501028,-4.39224137051901,-1.999538115579625,24.03371406235622,-25.035672442452626,3.18,1.47,289.0,111.1,16.0,89.3,1975.0,6.9,776940,668670,679529,650402,690993,656716,681481,595879,672761,53.59,0.706,0.869,1.25,1.0,1,1,6.0,24,2,Cutter,1,0,0,1,0,1,0,1,Infield shade,Standard,195.0,-0.078,0.676,80.4,7.7,1.346,-0.676,111.1,1,-1,0.629,0.371,29,24,29,25,2,1,7.0,1.0,6.0,2.0,2.34,0.08,-0.08,47.9,12.282681838072378,-12.977409032168644,28.23463275606205,36.50336738366491,42.238569159160335
FS,2025-07-29,88.3,-2.11,5.58,"Carroll, Corbin",682998,663554,single,hit_into_play,,,,,4.0,Corbin Carroll singles on a sharp line drive to right fielder Wenceel Pérez. James McCann to 2nd.,R,L,R,DET,AZ,X,9,line_drive,3,2,2025,-0.99,0.21,-0.5,2.12,,,543510.0,1,2,Top,160.22,92.83,,,,,6.060025404556079,-128.5931428286534,-2.8671580599229056,-12.205045566183369,23.621154317875384,-29.50585319085319,3.21,1.48,162.0,100.4,9.0,89.8,1331.0,6.9,776953,693307,679529,650402,690993,656716,682985,663837,672761,53.6,0.711,0.682,0.9,1.0,1,0,4.0,14,6,Split-Finger,0,1,1,0,1,0,1,0,Infield shade,Standard,241.0,-0.032,0.341,72.4,7.6,0.829,-0.341,100.4,-1,1,0.389,0.611,28,24,28,25,2,1,7.0,1.0,6.0,1.0,2.68,0.99,-0.99,42.2,12.176471085519657,-3.1730933260062324,19.93494907201149,44.434946380602426,37.625074748430535
SI,2025-07-29,92.5,3.36,5.69,"Carroll, Corbin",682998,676428,field_out,hit_into_play,,,,,6.0,Corbin Carroll flies out to left fielder Riley Greene.,R,L,L,DET,AZ,X,7,fly_ball,2,0,2025,1.18,0.13,0.37,2.5,,,,2,4,Top,75.13,83.04,,,,,-10.157374725807331,-134.39258154628854,-2.635795492516503,16.460781172344575,26.713037042391857,-30.29036817244009,3.21,1.48,314.0,98.0,47.0,92.4,2056.0,6.1,776953,693307,679529,650402,690993,656716,682985,663837,672761,54.38,0.011,0.01,0.0,1.0,0,0,3.0,31,3,Sinker,0,2,2,0,2,0,2,0,Infield shade,Standard,126.0,0.009,-0.362,72.9,6.6,0.017,0.362,98.0,-2,2,0.291,0.709,26,24,27,25,1,2,4.0,1.0,3.0,1.0,2.53,1.18,1.18,31.6,9.14344634087636,10.069730353553805,24.97190561952845,34.5413972247227,32.3694059637854
FF,2025-07-28,97.4,-1.68,5.4,"Carroll, Corbin",682998,675512,field_out,hit_into_play,,,,,1.0,Corbin Carroll flies out to left fielder Riley Greene.,R,L,R,DET,AZ,X,7,fly_ball,3,1,2025,-0.5,1.11,-0.37,3.01,,,,1,6,Top,42.05,106.72,,,,,4.7311510789345945,-141.89272432528304,-3.53024105935516,-7.842894201326389,30.745168798718545,-16.51556137062899,3.21,1.48,308.0,95.3,45.0,98.8,2059.0,6.9,776973,693307,679529,650402,628451,595879,682985,663837,672761,53.59,0.014,0.024,0.0,1.0,0,0,3.0,42,5,4-Seam Fastball,4,0,0,4,0,4,0,4,Infield shade,Standard,207.0,0.01,-0.419,73.6,6.7,0.04,0.419,95.3,4,-4,0.941,0.059,24,24,25,25,3,2,5.0,1.0,8.0,1.0,1.27,0.5,-0.5,36.1,5.827150239675991,20.41076660709623,18.45001215420083,43.22794028370745,24.74695859767124
FS,2025-07-28,88.3,-2.01,5.19,"Carroll, Corbin",682998,675512,field_out,hit_into_play,,,,,2.0,Corbin Carroll flies out to center fielder Matt Vierling.,R,L,R,DET,AZ,X,8,fly_ball,0,1,2025,-0.72,0.25,-0.24,2.69,,,,2,3,Top,92.87,70.91,,,,,5.888645698659036,-128.523997689166,-0.5689630497648828,-9.130651285738733,24.21675395884485,-29.508031448173515,3.21,1.48,328.0,96.5,41.0,89.8,990.0,7.0,776973,693307,679529,650402,628451,595879,682985,663837,672761,53.48,0.089,0.16,0.0,1.0,0,0,3.0,20,2,Split-Finger,2,0,0,2,0,2,0,2,Infield shade,Standard,237.0,0.01,-0.217,70.5,7.0,0.3,0.217,96.5,2,-2,0.762,0.238,24,24,25,25,2,1,5.0,1.0,8.0,1.0,2.65,0.72,-0.72,30.3,14.971385864712389,4.316140889868223,19.54810863089879,41.91834174068581,33.49340630825533
CU,2025-07-28,79.2,-1.73,5.44,"Carroll, Corbin",682998,675512,single,hit_into_play,,,,,5.0,Corbin Carroll singles on a sharp line drive to center fielder Matt Vierling.,R,L,R,DET,AZ,X,8,line_drive,1,1,2025,1.11,-0.85,-0.27,2.21,,,,0,1,Top,132.71,80.44,,,,,1.12252343917375,-115.3058148869616,1.4456926231766454,9.560665350670774,24.35356512094089,-40.27149687427223,3.21,1.48,250.0,102.5,14.0,79.8,2474.0,7.0,776973,693307,679529,650402,628451,595879,682985,663837,672761,53.5,0.74,0.766,0.9,1.0,1,0,4.0,1,3,Curveball,0,0,0,0,0,0,0,0,Infield shade,Standard,40.0,-0.036,0.447,71.2,7.0,1.058,-0.447,102.5,0,0,0.5,0.5,24,24,25,25,1,0,5.0,1.0,8.0,1.0,4.53,-1.11,1.11,40.4,7.045804531559706,6.888988399311988,21.51688424158553,42.865198685751615,33.6061909160545
SL,2025-07-26,85.7,-2.0,5.73,"Carroll, Corbin",682998,642701,field_out,hit_into_play,,,,,9.0,Corbin Carroll flies out to right fielder Bryan Reynolds.,R,L,R,PIT,AZ,X,9,fly_ball,0,1,2025,0.04,0.17,0.44,1.77,,,606466.0,1,8,Top,166.02,102.86,,,,,5.702078487716867,-124.79902390940131,-3.4970336543169487,-0.6615882665181319,22.847658349656783,-29.976436376410764,3.22,1.48,259.0,92.0,50.0,86.3,2470.0,6.4,777002,663698,687462,678894,663647,643396,502054,665833,668804,54.09,0.009,0.013,0.0,1.0,0,0,3.0,57,2,Slider,2,0,0,2,0,2,0,2,Infield shade,Standard,175.0,0.046,-0.216,70.8,7.8,0.019,0.216,92.0,2,-2,0.862,0.138,29,24,29,25,1,3,1.0,1.0,2.0,1.0,2.91,-0.04,0.04,37.3,17.770607069698002,-10.098968785566846,31.98614918519913,32.801918920197735,44.33416598364475
FF,2025-07-25,95.4,-1.53,5.83,"Carroll, Corbin",682998,681347,field_out,hit_into_play,,,,,11.0,Corbin Carroll flies out to left fielder Tommy Pham.,R,L,R,PIT,AZ,X,7,fly_ball,0,2,2025,-0.74,1.42,-0.04,3.61,,,,0,4,Top,45.76,99.08,,,,,5.581187882714571,-138.86947016219565,-3.4393476253028488,-10.768570345555403,30.760768095519246,-13.165316146400563,3.23,1.48,317.0,91.7,45.0,95.8,2341.0,6.5,777014,680779,687462,693304,663647,643396,502054,665833,668804,54.05,0.006,0.008,0.0,1.0,0,0,3.0,22,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,219.0,0.027,-0.165,70.5,6.4,0.014,0.165,91.7,0,0,0.5,0.5,25,24,26,25,2,1,6.0,2.0,5.0,1.0,1.08,0.74,-0.74,42.9,8.154874141948284,16.060914849245275,13.39657919628015,37.97118237016012,22.65816889488024
FF,2025-07-25,96.3,-1.12,6.03,"Carroll, Corbin",682998,681347,field_out,hit_into_play,,,,,6.0,Corbin Carroll lines out to right fielder Bryan Reynolds.,R,L,R,PIT,AZ,X,9,line_drive,3,2,2025,-0.62,1.25,0.5,2.07,,,,0,1,Top,181.53,105.99,,,,,5.732724569823616,-139.95825005170835,-7.804631782794473,-9.403329860125112,31.350042264443864,-14.149316727946983,3.23,1.48,269.0,90.1,18.0,96.8,2196.0,6.6,777014,680779,687462,693304,663647,643396,502054,665833,668804,53.88,0.606,0.589,0.0,1.0,0,0,4.0,1,6,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,205.0,0.022,-0.345,79.2,7.3,0.752,0.345,90.1,0,0,0.5,0.5,25,24,26,25,1,0,6.0,2.0,5.0,1.0,1.21,0.62,-0.62,48.1,4.84104739868059,0.5857684159961106,27.74122864265594,33.47082953599249,34.1501779452452
FC,2025-07-23,88.9,2.25,5.59,"Carroll, Corbin",682998,687888,field_out,hit_into_play,,,,,5.0,Corbin Carroll flies out sharply to center fielder Taylor Trammell.,R,L,L,AZ,HOU,X,8,fly_ball,1,0,2025,-0.01,0.89,-0.03,2.08,,,,0,3,Bot,94.06,38.23,,,,,-5.6177245161571925,-129.41353246353285,-4.53548664546201,0.9090119454845268,24.48255848072872,-21.38161767816331,3.22,1.48,404.0,102.5,28.0,90.2,2277.0,6.9,777032,673237,605170,694728,694376,643289,669450,666211,676801,53.65,0.791,1.544,0.0,1.0,0,0,6.0,22,2,Cutter,1,0,1,0,0,1,1,0,Standard,Strategic,152.0,-0.02,-0.301,72.7,7.1,2.984,0.301,102.5,1,1,0.673,0.673,28,24,29,25,2,1,5.0,1.0,,2.0,1.97,-0.01,-0.01,36.1,4.637832375511834,2.535601773300425,27.373073126418745,39.87008777347667,36.48609632177916
SL,2025-07-23,87.8,1.01,6.3,"Carroll, Corbin",682998,656986,double,hit_into_play,,,,,5.0,Corbin Carroll doubles (18) on a sharp line drive to right fielder Cam Smith. Geraldo Perdomo scores. Ketel Marte to 3rd.,R,L,L,AZ,HOU,X,9,line_drive,0,0,2025,-0.36,0.13,-0.12,2.54,672695.0,,606466.0,0,8,Bot,219.39,91.14,,,,,-2.0177976819048555,-127.95361309351313,-3.2479351337778013,-3.493231291708457,26.53580951971462,-30.33954061029844,3.22,1.48,300.0,108.2,14.0,88.2,2434.0,6.5,777032,673237,605170,694728,643289,670097,666211,676801,701358,54.02,0.743,0.783,1.25,1.0,1,1,5.0,65,1,Slider,1,3,1,3,3,2,2,3,Standard,Standard,215.0,0.288,0.642,79.2,7.8,1.124,-0.642,108.2,-2,-2,0.394,0.394,30,24,30,25,1,3,2.0,1.0,3.0,2.0,2.82,-0.36,-0.36,57.4,12.53994918598571,-11.852516939564516,17.773616651975527,39.33712526991748,46.92826844227048
SI,2025-07-23,92.1,2.11,5.37,"Carroll, Corbin",682998,687888,field_out,hit_into_play,,,,,9.0,Corbin Carroll flies out to left fielder Cooper Hummel.,R,L,L,AZ,HOU,X,7,fly_ball,1,0,2025,1.62,0.52,0.38,1.89,,,,0,1,Bot,66.89,125.69,,,,,-8.00899234591454,-133.8676713711181,-4.141281751226244,21.21215843633605,30.111737030643877,-25.184555397335902,3.22,1.48,235.0,83.4,49.0,92.9,1997.0,6.9,777032,673237,605170,694728,694376,643289,669450,666211,676801,53.59,0.009,0.008,0.0,1.0,0,0,3.0,6,2,Sinker,1,0,1,0,0,1,1,0,Standard,Standard,121.0,-0.019,-0.301,76.1,7.1,0.013,0.301,88.0,1,1,0.649,0.649,28,24,29,25,1,0,5.0,1.0,,2.0,2.18,1.62,1.62,25.7,3.5560767617090274,7.025209772451379,33.0483549444375,34.04952646991086,35.107943978231
SI,2025-07-22,97.0,0.42,6.04,"Carroll, Corbin",682998,664285,field_out,hit_into_play,,,,,6.0,Corbin Carroll lines out to left fielder Cooper Hummel.,R,L,L,AZ,HOU,X,7,line_drive,0,0,2025,1.43,0.43,0.35,2.4,,,,2,3,Bot,82.49,80.07,,,,,-3.4101856384675475,-141.2477387289458,-5.167896335934586,19.90842081406052,31.417996172079096,-25.49991878555376,3.21,1.47,314.0,90.9,21.0,96.4,2040.0,5.9,777040,673237,572233,694728,643289,670097,669450,676801,701358,54.63,0.283,0.316,0.0,1.0,0,0,3.0,22,1,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,137.0,-0.012,-0.26,84.6,6.6,0.461,0.26,90.9,0,0,0.512,0.512,31,24,32,25,2,1,10.0,1.0,6.0,1.0,1.99,1.43,1.43,50.4,-1.9119099224744895,9.33529834809423,28.82750419153323,35.4835620726712,28.184597962442865
FF,2025-07-22,97.5,-2.4,5.64,"Carroll, Corbin",682998,650556,field_out,hit_into_play,,,,,12.0,Corbin Carroll flies out to right fielder Cam Smith.,R,L,R,AZ,HOU,X,9,fly_ball,0,1,2025,-0.4,1.49,0.79,3.44,,,,0,8,Bot,169.26,110.89,,,,,9.485284948438832,-141.66168700576168,-3.7965533080164513,-7.563610778948905,33.622858792809886,-11.409760296595644,3.21,1.47,245.0,70.9,35.0,97.3,2421.0,6.4,777040,673237,572233,694728,643289,670097,669450,666211,701358,54.12,0.611,0.559,0.0,1.0,0,0,3.0,65,2,4-Seam Fastball,1,2,1,2,2,1,1,2,Standard,Standard,216.0,-0.062,-0.22,69.6,6.3,0.653,0.22,88.0,-1,-1,0.297,0.297,28,24,28,25,1,3,2.0,1.0,4.0,1.0,0.92,0.4,-0.4,38.7,10.227745422731584,2.5138870209209703,21.5762893019362,29.317683196027417,31.01405154049807
